225-237  E13.8  W.sr-1.m-3 za60_pwv3.0 [0.0/344254.35] Description of
                                  za60_pwv3.0
--------------------------------------------------------------------------------
Notes:
--------------------------------------------------------------------------------
3.0636340e-07 1.3556350e-60 1.3556996e-60 1.3558276e-60 1.3559556e-60 1.5585590e-60 1.5586316e-60 1.5587775e-60 1.5589228e-60 1.8950285e-60 1.8951156e-60 1.8952884e-60 1.8954598e-60 2.6367827e-60 2.6368971e-60 2.6371258e-60 2.6373532e-60
3.0666976e-07 1.5271554e-60 1.5272285e-60 1.5273735e-60 1.5275185e-60 1.7558269e-60 1.7559093e-60 1.7560745e-60 1.7562391e-60 2.1350310e-60 2.1351297e-60 2.1353255e-60 2.1355198e-60 2.9711842e-60 2.9713140e-60 2.9715733e-60 2.9718311e-60
3.0697643e-07 1.7145056e-60 1.7145879e-60 1.7147508e-60 1.7149138e-60 1.9713153e-60 1.9714078e-60 1.9715936e-60 1.9717786e-60 2.3972295e-60 2.3973404e-60 2.3975606e-60 2.3977790e-60 3.3365992e-60 3.3367451e-60 3.3370369e-60 3.3373269e-60
3.0728341e-07 1.8823086e-60 1.8823987e-60 1.8825771e-60 1.8827556e-60 2.1643669e-60 2.1644682e-60 2.1646717e-60 2.1648743e-60 2.6322213e-60 2.6323428e-60 2.6325840e-60 2.6328233e-60 3.6643875e-60 3.6645474e-60 3.6648671e-60 3.6651850e-60
3.0759069e-07 2.1009225e-60 2.1010232e-60 2.1012226e-60 2.1014222e-60 2.4158377e-60 2.4159510e-60 2.4161784e-60 2.4164049e-60 2.9382493e-60 2.9383851e-60 2.9386548e-60 2.9389224e-60 4.0910332e-60 4.0912121e-60 4.0915697e-60 4.0919253e-60
3.0789828e-07 2.4174490e-60 2.4175651e-60 2.4177951e-60 2.4180252e-60 2.7798745e-60 2.7800051e-60 2.7802674e-60 2.7805286e-60 3.3811386e-60 3.3812953e-60 3.3816063e-60 3.3819150e-60 4.7080935e-60 4.7083000e-60 4.7087126e-60 4.7091229e-60
3.0820618e-07 2.8080305e-60 2.8081652e-60 2.8084320e-60 2.8086990e-60 3.2290731e-60 3.2292247e-60 3.2295290e-60 3.2298322e-60 3.9276192e-60 3.9278010e-60 3.9281620e-60 3.9285202e-60 5.4694304e-60 5.4696700e-60 5.4701489e-60 5.4706252e-60
3.0851439e-07 3.1677006e-60 3.1678530e-60 3.1681549e-60 3.1684570e-60 3.6427930e-60 3.6429646e-60 3.6433090e-60 3.6436520e-60 4.4310816e-60 4.4312874e-60 4.4316960e-60 4.4321014e-60 6.1712805e-60 6.1715518e-60 6.1720942e-60 6.1726335e-60
3.0882290e-07 3.6991224e-60 3.6993008e-60 3.6996541e-60 3.7000076e-60 4.2539849e-60 4.2541857e-60 4.2545888e-60 4.2549903e-60 5.1746699e-60 5.1749108e-60 5.1753891e-60 5.1758637e-60 7.2073188e-60 7.2076366e-60 7.2082717e-60 7.2089033e-60
3.0913173e-07 4.2044884e-60 4.2046902e-60 4.2050902e-60 4.2054903e-60 4.8352949e-60 4.8355221e-60 4.8359783e-60 4.8364327e-60 5.8820746e-60 5.8823473e-60 5.8828887e-60 5.8834258e-60 8.1934730e-60 8.1938327e-60 8.1945516e-60 8.1952666e-60
3.0944086e-07 4.5863786e-60 4.5865996e-60 4.5870375e-60 4.5874755e-60 5.2747220e-60 5.2749708e-60 5.2754704e-60 5.2759680e-60 6.4171186e-60 6.4174173e-60 6.4180103e-60 6.4185987e-60 8.9402692e-60 8.9406635e-60 8.9414515e-60 8.9422351e-60
3.0975030e-07 4.9541888e-60 4.9544276e-60 4.9549008e-60 4.9553741e-60 5.6980036e-60 5.6982726e-60 5.6988125e-60 5.6993502e-60 6.9326162e-60 6.9329391e-60 6.9335800e-60 6.9342160e-60 9.6601284e-60 9.6605547e-60 9.6614070e-60 9.6622544e-60
3.1006005e-07 5.6799512e-60 5.6802256e-60 5.6807694e-60 5.6813132e-60 6.5328651e-60 6.5331742e-60 6.5337945e-60 6.5344125e-60 7.9486425e-60 7.9490136e-60 7.9497503e-60 7.9504813e-60 1.1076736e-59 1.1077226e-59 1.1078206e-59 1.1079180e-59
3.1037011e-07 6.6369310e-60 6.6372761e-60 6.6379605e-60 6.6386446e-60 7.6336507e-60 7.6340400e-60 7.6348214e-60 7.6355993e-60 9.2881974e-60 9.2886653e-60 9.2895949e-60 9.2905170e-60 1.2944117e-59 1.2944738e-59 1.2945979e-59 1.2947212e-59
3.1068048e-07 7.4115584e-60 7.4119502e-60 7.4127275e-60 7.4135041e-60 8.5248857e-60 8.5253279e-60 8.5262154e-60 8.5270989e-60 1.0373158e-59 1.0373690e-59 1.0374746e-59 1.0375794e-59 1.4457847e-59 1.4458553e-59 1.4459964e-59 1.4461367e-59
3.1099116e-07 8.4788843e-60 8.4793151e-60 8.4801691e-60 8.4810228e-60 9.7527476e-60 9.7532333e-60 9.7542083e-60 9.7551790e-60 1.1867651e-59 1.1868235e-59 1.1869394e-59 1.1870545e-59 1.6542129e-59 1.6542902e-59 1.6544450e-59 1.6545988e-59
3.1130215e-07 9.8615824e-60 9.8620735e-60 9.8630467e-60 9.8640199e-60 1.1343349e-59 1.1343903e-59 1.1345014e-59 1.1346120e-59 1.3803518e-59 1.3804183e-59 1.3805504e-59 1.3806814e-59 1.9241562e-59 1.9242443e-59 1.9244204e-59 1.9245955e-59
3.1161345e-07 1.1345718e-59 1.1346308e-59 1.1347478e-59 1.1348648e-59 1.3050716e-59 1.3051382e-59 1.3052719e-59 1.3054049e-59 1.5881651e-59 1.5882451e-59 1.5884042e-59 1.5885620e-59 2.2139850e-59 2.2140914e-59 2.2143039e-59 2.2145152e-59
3.1192507e-07 1.2265431e-59 1.2266086e-59 1.2267387e-59 1.2268686e-59 1.4109178e-59 1.4109918e-59 1.4111404e-59 1.4112882e-59 1.7170792e-59 1.7171682e-59 1.7173452e-59 1.7175206e-59 2.3940312e-59 2.3941496e-59 2.3943864e-59 2.3946217e-59
3.1223699e-07 1.3524654e-59 1.3525380e-59 1.3526821e-59 1.3528260e-59 1.5558176e-59 1.5558996e-59 1.5560642e-59 1.5562280e-59 1.8935196e-59 1.8936183e-59 1.8938144e-59 1.8940089e-59 2.6403356e-59 2.6404669e-59 2.6407295e-59 2.6409904e-59
3.1254923e-07 1.5020376e-59 1.5021438e-59 1.5023548e-59 1.5025651e-59 1.7279268e-59 1.7280471e-59 1.7282887e-59 1.7285286e-59 2.1030827e-59 2.1032280e-59 2.1035172e-59 2.1038039e-59 2.9328490e-59 2.9330446e-59 2.9334359e-59 2.9338243e-59
3.1286178e-07 1.6891749e-59 1.6892824e-59 1.6894961e-59 1.6897093e-59 1.9432520e-59 1.9433738e-59 1.9436182e-59 1.9438612e-59 2.3652481e-59 2.3653949e-59 2.3656872e-59 2.3659769e-59 3.2987293e-59 3.2989263e-59 3.2993205e-59 3.2997118e-59
3.1317464e-07 1.9343088e-59 1.9344576e-59 1.9347540e-59 1.9350491e-59 2.2252966e-59 2.2254656e-59 2.2258050e-59 2.2261420e-59 2.7086202e-59 2.7088245e-59 2.7092315e-59 2.7096347e-59 3.7778637e-59 3.7781396e-59 3.7786919e-59 3.7792397e-59
3.1348781e-07 2.3505893e-59 2.3507490e-59 2.3510667e-59 2.3513833e-59 2.7042026e-59 2.7043837e-59 2.7047472e-59 2.7051085e-59 3.2915484e-59 3.2917669e-59 3.2922021e-59 3.2926334e-59 4.5909299e-59 4.5912239e-59 4.5918122e-59 4.5923961e-59
3.1380130e-07 2.6906570e-59 2.6908316e-59 2.6911786e-59 2.6915246e-59 3.0954836e-59 3.0956814e-59 3.0960784e-59 3.0964730e-59 3.7679254e-59 3.7681640e-59 3.7686389e-59 3.7691096e-59 5.2557058e-59 5.2560262e-59 5.2566674e-59 5.2573038e-59
3.1411510e-07 2.9026386e-59 2.9028516e-59 2.9032756e-59 2.9036980e-59 3.3394713e-59 3.3397132e-59 3.3401987e-59 3.3406809e-59 4.0651408e-59 4.0654329e-59 4.0660149e-59 4.0665916e-59 5.6709699e-59 5.6713641e-59 5.6721532e-59 5.6729360e-59
